index,name,status,filename,matchedTitle,wikidataId,license,licenseUrl,descriptionUrl
"1","سلمان بن عبد العزيز آل سعود","ok","celeb-001-q367825.jpg","سلمان بن عبد العزيز آل سعود","Q367825","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9_%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%D8%A9_%D9%84%D8%AE%D8%A7%D8%AF%D9%85_%D8%A7%D9%84%D8%AD%D8%B1%D9%85%D9%8A%D9%86_%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D9%84%D9%83_%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF.jpg"
"2","محمد بن سلمان آل سعود","ok","celeb-002-q6892571.jpg","محمد بن سلمان آل سعود","Q6892571","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D8%B5%D9%88%D8%B1%D8%A9_%D8%A7%D9%84%D8%B1%D8%B3%D9%85%D9%8A%D8%A9_%D9%84%D9%84%D8%A3%D9%85%D9%8A%D8%B1_%D9%85%D8%AD%D9%85%D8%AF_%D8%A8%D9%86_%D8%B3%D9%84%D9%85%D8%A7%D9%86_%D8%A8%D9%86_%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2_%D8%A2%D9%84_%D8%B3%D8%B9%D9%88%D8%AF_(%D9%85%D9%82%D8%B5%D9%88%D8%B5%D8%A9).jpg"
"3","محمد بن زايد آل نهيان","ok","celeb-003-q1951896.jpg","محمد بن زايد آل نهيان","Q1951896","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Mohamed_bin_Zayed_Al_Nahyan_-_2024_(cropped).jpg"
"4","محمد بن راشد آل مكتوم","ok","celeb-004-q57655.jpg","محمد بن راشد آل مكتوم","Q57655","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Mohammed_bin_Rashid_Al_Maktoum_(15-02-2021).jpg"
"5","عبد الله الثاني بن الحسين","ok","celeb-005-q57464.jpg","عبد الله الثاني بن الحسين","Q57464","Public domain","","https://commons.wikimedia.org/wiki/File:King_Abdullah_II_of_Jordan-2025_(cropped).jpg"
"6","حمد بن عيسى آل خليفة","ok","celeb-006-q57352.jpg","حمد بن عيسى بن سلمان آل خليفة","Q57352","Attribution","","https://commons.wikimedia.org/wiki/File:Hamad_bin_Isa_Al_Khalifah_on_September_12,_2024_(cropped).jpg"
"7","تميم بن حمد آل ثاني","ok","celeb-007-q1855372.jpg","تميم بن حمد آل ثاني","Q1855372","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Emir_of_Qatar_on_February_19,_2025_(cropped).jpg"
"8","مشعل الأحمد الجابر الصباح","ok","celeb-008-q12243161.jpg","مشعل الأحمد الجابر الصباح","Q12243161","GODL-India","https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf","https://commons.wikimedia.org/wiki/File:Emir_of_Kuwait_Sheikh_Mishal_Al-Ahmad_Al-Jaber_Al-Sabah.jpg"
"9","هيثم بن طارق","ok","celeb-009-q12250314.jpg","هيثم بن طارق","Q12250314","OGL-om 1.0","https://www.oman.om/en/home-footer-level/faq/open-government-licence-oman","https://commons.wikimedia.org/wiki/File:Official_portrait_of_Sultan_Haitham_bin_Tariq_(2021).jpg"
"10","محمد السادس","ok","celeb-010-q57553.jpg","محمد السادس بن الحسن","Q57553","Attribution","","https://commons.wikimedia.org/wiki/File:Pedro_S%C3%A1nchez_se_re%C3%BAne_con_el_rey_de_Marruecos,_Mohamed_VI_(1)_(cropped).jpg"
"11","عبد الفتاح السيسي","ok","celeb-011-q307871.jpg","عبد الفتاح السيسي","Q307871","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Abdel_Fattah_el-Sisi_(2)_-_2023.jpg"
"12","رجب طيب أردوغان","ok","celeb-012-q39259.jpg","رجب طيب أردوغان","Q39259","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Recep_Tayyip_Erdo%C4%9Fan_2018_(cropped).jpg"
"13","جو بايدن","ok","celeb-013-q6279.jpg","جو بايدن","Q6279","Public domain","","https://commons.wikimedia.org/wiki/File:Joe_Biden_presidential_portrait.jpg"
"14","دونالد ترامب","ok","celeb-014-q22686.jpg","دونالد ترمب","Q22686","Public domain","","https://commons.wikimedia.org/wiki/File:Official_Presidential_Portrait_of_President_Donald_J._Trump_(2025).jpg"
"15","شي جين بينغ","ok","celeb-015-q15031.jpg","شي جين بينغ","Q15031","Public domain","","https://commons.wikimedia.org/wiki/File:Xi_Jinping_in_Beijing_on_May_13,_2025_(cropped).jpg"
"16","فلاديمير بوتين","ok","celeb-016-q7747.jpg","فلاديمير بوتين","Q7747","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D1%83%D1%82%D0%B8%D0%BD_(08-03-2024)_(cropped)_(higher_res).jpg"
"17","إيمانويل ماكرون","ok","celeb-017-q3052772.jpg","إيمانويل ماكرون","Q3052772","Public domain","","https://commons.wikimedia.org/wiki/File:Emmanuel_Macron_2025_(cropped).jpg"
"18","أولاف شولتس","ok","celeb-018-q61053.jpg","أولاف شولتس","Q61053","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:Olaf_Scholz_2021_cropped.jpg"
"19","ريشي سوناك","ok","celeb-019-q20055561.jpg","ريشي سوناك","Q20055561","OGL 3","http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3","https://commons.wikimedia.org/wiki/File:Rishi_Sunak%27s_first_speech_as_Prime_Minister_(crop).jpg"
"20","كير ستارمر","ok","celeb-020-q6383803.jpg","كير ستارمر","Q6383803","OGL 3","http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3","https://commons.wikimedia.org/wiki/File:Prime_Minister_Sir_Keir_Starmer_Official_Portrait_(cropped).jpg"
"21","ناريندرا مودي","ok","celeb-021-q1058.jpg","ناريندرا مودي","Q1058","GODL-India","https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf","https://commons.wikimedia.org/wiki/File:Prime_Minister_Of_Bharat_Shri_Narendra_Damodardas_Modi.jpg"
"22","جاستن ترودو","ok","celeb-022-q3099714.jpg","جاستن ترودو","Q3099714","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Justin_Trudeau_at_Eurasia_Group_2023_US-Canada_Summit_(52807415495)_(cropped)_(cropped).jpg"
"23","جيورجيا ميلوني","ok","celeb-023-q451791.jpg","جورجا ملوني","Q451791","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","https://commons.wikimedia.org/wiki/File:Giorgia_Meloni_video_message_to_the_2022_NIAF_Gala.jpg"
"24","أنطونيو غوتيريش","ok","celeb-024-q311440.jpg","أنطونيو غوتيريش","Q311440","Public domain","","https://commons.wikimedia.org/wiki/File:Ant%C3%B3nio_Guterres_United_Nations_Secretary-General_in_2024_(cropped).jpg"
"25","أورسولا فون دير لاين","ok","celeb-025-q60772.jpg","أورسولا فون دير لاين","Q60772","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Ursula_von_der_Leyen_2024.jpg"
"26","أحمد أبو الغيط","ok","celeb-026-q58108.jpg","أحمد أبو الغيط","Q58108","Public domain","","https://commons.wikimedia.org/wiki/File:Arab_League_Secretary-General_Ahmed_Aboul_Gheit_in_July_2023_-_53057455593_(cropped).jpg"
"27","أنور إبراهيم","ok","celeb-027-q299574.jpg","أنور إبراهيم","Q299574","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:2025_Anwar_Ibrahim_(cropped).jpg"
"28","لولا دا سيلفا","ok","celeb-028-q37181.jpg","لويس إيناسيو لولا دا سيلفا","Q37181","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:2022_-_Conven%C3%A7%C3%A3o_Nacional_do_PSB_-_Lula_(cropped).jpg"
"29","شيخ حسينة","ok","celeb-029-q52183.jpg","شيخة حسينة","Q52183","GODL-India","https://data.gov.in/sites/default/files/Gazette_Notification_OGDL.pdf","https://commons.wikimedia.org/wiki/File:Sheikh_Hasina_in_Sep_2023.jpg"
"30","برابوو سوبيانتو","ok","celeb-030-q2107268.jpg","برابوو سوبيانتو","Q2107268","Public domain","","https://commons.wikimedia.org/wiki/File:Prabowo_Subianto_2024_official_portrait.jpg"
"31","يون سوك يول","ok","celeb-031-q16090635.jpg","يون سوك يول","Q16090635","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://commons.wikimedia.org/wiki/File:South_Korea_President_Yoon_Suk_Yeol_portrait.jpg"
"32","شيغيرو إيشيبا","ok","celeb-032-q1335527.jpg","شيغيرو إيشيبا","Q1335527","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Ishiba_Shigeru_20241001_(cropped).jpg"
"33","أنتوني بلينكن","ok","celeb-033-q7821917.jpg","أنتوني بلينكن","Q7821917","Public domain","","https://commons.wikimedia.org/wiki/File:Secretary_Blinken%27s_Official_Department_Photo.jpg"
"34","جيك سوليفان","ok","celeb-034-q16730147.jpg","جيك سوليفان","Q16730147","Public domain","","https://commons.wikimedia.org/wiki/File:Jake-Sullivan-WH.png"
"35","سيرجي لافروف","ok","celeb-035-q58217.jpg","سيرجي لافروف","Q58217","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9B%D0%B0%D0%B2%D1%80%D0%BE%D0%B2_(29-05-2025)_(cropped).jpg"
"36","وانغ يي","ok","celeb-036-q701801.jpg","وانغ يي","Q701801","Public domain","","https://commons.wikimedia.org/wiki/File:Jake_Sullivan_and_Wang_Yi_met_in_Bangkok_(2024)_(cropped).jpg"
"37","أيمن الصفدي","ok","celeb-037-q28336737.jpg","أيمن الصفدي","Q28336737","Public domain","","https://commons.wikimedia.org/wiki/File:Ayman_Safadi_portrait_cropped.jpeg"
"38","سامح شكري","ok","celeb-038-q7409268.jpg","سامح شكري","Q7409268","CC BY-SA 3.0 pl","https://creativecommons.org/licenses/by-sa/3.0/pl/deed.en","https://commons.wikimedia.org/wiki/File:Sameh_Shoukry_Senate_of_Poland_2015.JPG"
"39","بدر البوسعيدي","ok","celeb-039-q98456849.jpg","بدر البوسعيدي","Q98456849","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:2026_Badr_bin_Hamad_Al_Busaidi_(cropped).jpg"
"40","محمد بن عبد الرحمن آل ثاني","ok","celeb-040-q23020336.jpg","محمد بن عبد الرحمن آل ثاني","Q23020336","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:H.E._Sheikh_Mohammed_bin_Abdulrahman_bin_Jassim_Al-Thani,_Minister_of_Foreign_Affairs,_State_of_Qatar_(35035675644).jpg"
"41","فيصل بن فرحان آل سعود","ok","celeb-041-q72099398.jpg","فيصل بن فرحان آل سعود","Q72099398","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Fumio_Kishida_and_Faisal_bin_Farhan_Al_Saud_20220719_(2)_(cropped).jpg"
"42","عبد الله بن زايد آل نهيان","ok","celeb-042-q58301.jpg","عبد الله بن زايد آل نهيان","Q58301","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Abdullah_bin_Zayed_Al_Nahyan_in_London_-_2018_(29653209427)_(cropped).jpg"
"43","صادق خان","ok","celeb-043-q334155.jpg","صادق خان","Q334155","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Sadiq_Khan_2025.jpg"
"44","نادية مراد","ok","celeb-044-q22007112.jpg","نادية مراد","Q22007112","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Nadia_Murad_2023_(close-up).jpg"
"45","ملالا يوسفزي","ok","celeb-045-q32732.jpg","ملالا يوسفزي","Q32732","CC BY 2.0","https://creativecommons.org/licenses/by/2.0","https://commons.wikimedia.org/wiki/File:Malala_Yousafzai_2015.jpg"
"46","غريتا ثونبرغ","ok","celeb-046-q56434717.jpg","غريتا تونبرج","Q56434717","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://commons.wikimedia.org/wiki/File:Greta_Thunberg_in_November_in_Stockholm_(cropped)(2).jpg"
"47","إلهام علييف","ok","celeb-047-q57371.jpg","إلهام علييف","Q57371","CC BY 4.0","https://creativecommons.org/licenses/by/4.0","https://commons.wikimedia.org/wiki/File:Ilham_Aliyev,_December_2025_(cropped).jpg"
